address,amphoe,cemail1,cfax,cname,cphone,cradio,dataid,entrydate,helipad,hosp_agency,hosp_ambulance,hosp_bed,hosp_bed_expand,hosp_bed_used,hosp_burn,hosp_code_new,hosp_code_old,hosp_morgue,hosp_morgue_used,hosp_oper_room,hosp_oper_room_used,hosp_stroke,hosp_surgery_capa,hosp_trauma,hosp_type,image_attachment_1,image_attachment_2,image_attachment_3,incidentid,label,latitude,longitude,map_label,originator_incident_name,originator_position,postcode,province,report_dt,subscribername,tambol,to_ecg
606 ซุ้มประตูเฉลิมพระเกียรติ ถ.เยาวราช,เขตสัมพันธวงศ์,,0-2233-0955 Ext. 319,,0-2233-0955-6,,11334,6/18/2019 9:39:58 AM,,เอกชน,0.0,60,,0,,,11603,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเทียนฟ้ามูลนิธิ,13.738228816440513,100.5121770539672,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10100,กรุงเทพมหานคร,6/18/2019 9:38:37 AM,,สัมพันธวงศ์,ส่วนควบคุมการฝึก (ECG)
513-515 ถ.เจริญกรุง,เขตป้อมปราบศัตรูพ่าย,,0-2221-1629,,"0-2221-8487, 0-2226-5703",,11335,6/18/2019 12:13:14 PM,,เอกชน,0.0,30,,0,,,11575,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลกว๋องสิวมูลนิธิ,13.7417433,100.51094109999997,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10100,กรุงเทพมหานคร,6/18/2019 12:12:42 PM,,ป้อมปราบ,ส่วนควบคุมการฝึก (ECG)
430 ถ.พิษณุโลก,เขตดุสิต,,0-2280-0441,,"0-2282-1100, 0-2281-1422",,11336,6/18/2019 8:59:01 AM,,เอกชน,0.0,150,,0,,,11543,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลมิชชั่น,13.7576434,100.51939849999997,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10300,กรุงเทพมหานคร,6/18/2019 8:58:26 AM,,สี่แยกมหานาค,ส่วนควบคุมการฝึก (ECG)
665 ถนนบำรุงเมือง,เขตป้อมปราบศัตรูพ่าย,,0-2223-1253,,0-2223-1351,,11337,6/18/2019 12:24:32 AM,,เอกชน,0.0,338,,0,,,11750,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลหัวเฉียว,13.749918,100.51532700000007,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10100,กรุงเทพมหานคร,6/18/2019 12:24:04 AM,,คลองมหานาค,ส่วนควบคุมการฝึก (ECG)
124-126 ซ.สมานมิตร,เขตสวนหลวง,,0-2319-6685,,0-2314-0726-9,,11338,6/18/2019 9:09:13 AM,,เอกชน,0.0,109,,0,,,11703,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลแพทย์ปัญญา,13.7439138,100.60743409999998,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10250,กรุงเทพมหานคร,6/18/2019 9:08:39 AM,,สวนหลวง,ส่วนควบคุมการฝึก (ECG)
345 ถนนเทพรัตน,เขตบางนา,,0-2361-2777,,0-2361-2727,,11339,6/18/2019 12:39:40 AM,,เอกชน,0.0,190,,0,,,11730,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลไทยนครินทร์,13.6681416,100.63857210000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10260,กรุงเทพมหานคร,6/18/2019 12:39:12 AM,,บางนา,ส่วนควบคุมการฝึก (ECG)
436 ถ. รามคำแหง,เขตบางกะปิ,,02-374 0804,,"02-743 9999 , 02-374 0200-16",,11341,6/18/2019 12:07:34 AM,,เอกชน,0.0,486,,0,,,11565,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลรามคำแหง,13.7613921,100.63613320000002,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10240,กรุงเทพมหานคร,6/18/2019 12:06:29 AM,,หัวหมาก,ส่วนควบคุมการฝึก (ECG)
2677 ถนนพัฒนาการ,เขตสวนหลวง,,0-2722-2445,,"0-2722-2500, 0-2032-2550",,11342,6/18/2019 8:58:17 AM,,เอกชน,0.0,150,,0,,,14577,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลวิภาราม พัฒนาการ,13.734706,100.64552660000004,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10250,กรุงเทพมหานคร,6/18/2019 8:57:09 AM,,สวนหลวง,ส่วนควบคุมการฝึก (ECG)
4/29 หมู่10 ถ.ศรีนครินทร์,เขตบางนา,,0-2383-4414-5,,1728,,11343,6/18/2019 12:29:17 AM,,เอกชน,0.0,258,,0,,,11582,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลศิครินทร์,13.6544161,100.64600380000002,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10260,กรุงเทพมหานคร,6/18/2019 12:28:48 AM,,บางนา,ส่วนควบคุมการฝึก (ECG)
488 ถ.ศรีนครินทร์,เขตสวนหลวง,,0-2378-9241,,0-2378-9243,,11344,6/18/2019 9:00:46 AM,,เอกชน,0.0,148,,0,,,11704,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลสมิติเวช ศรีนครินทร์,13.7486669,100.63832360000004,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10250,กรุงเทพมหานคร,6/18/2019 8:59:55 AM,,สวนหลวง,ส่วนควบคุมการฝึก (ECG)
20/6 ซ.นวศรี2 ถ.รามคำแหง21,เขตบางกะปิ,,0-2319-5871,,"0-2319-5865,0-2319-5870-1",,11345,6/18/2019 11:59:34 AM,,เอกชน,0.0,40,,0,,,14578,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลศุขเวชเนอสซิ่งโฮม (ราม 21),13.758013,100.60968600000001,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 11:58:39 AM,,พลับพลา,ส่วนควบคุมการฝึก (ECG)
423 สุขุมวิท55(ทองหล่อ),เขตวัฒนา,,0-2381-1843,,0-2391-0136,,11346,6/18/2019 9:07:48 AM,,เอกชน,0.0,120,,0,,,11697,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลคามิลเลียน,13.7393213,100.58377719999999,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 9:07:17 AM,,คลองตันเหนือ,ส่วนควบคุมการฝึก (ECG)
80/1 ถ.สุขุมวิท 21(อโศก),เขตวัฒนา,,0-2639-3311,,0-2639-3333,,11347,6/18/2019 12:20:56 PM,,เอกชน,0.0,13,,0,,,11694,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลจักษุรัตนิน,13.7463893,100.56315470000004,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 12:19:58 PM,,คลองเตยเหนือ,ส่วนควบคุมการฝึก (ECG)
33 ซอยสุขุมวิท 3 (นานาเหนือ) ถนนสุขุมวิท,เขตวัฒนา,,0-2667-2525,,0-2667-1000,,11348,6/18/2019 12:06:17 AM,,เอกชน,0.0,580,,0,,,11699,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลบำรุงราษฎร์,13.7461566,100.55234569999993,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 12:05:41 AM,,คลองเตยเหนือ,ส่วนควบคุมการฝึก (ECG)
133 สุขุมวิท49,เขตวัฒนา,,0-2381-1290,,0-2711-8000,,11349,6/18/2019 12:39:01 AM,,เอกชน,0.0,197,,0,,,,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลสมิติเวช สุขุมวิท,13.7348727,100.57658049999998,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 12:36:43 AM,,คลองตันเหนือ,ส่วนควบคุมการฝึก (ECG)
1411 ถ.สุขุมวิท,เขตวัฒนา,,0-2381-2744,,0-2391-0011,,11350,6/18/2019 9:35:18 AM,,เอกชน,0.0,80,,0,,,11591,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลสุขุมวิท,13.7189827,100.58703330000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 9:34:48 AM,,พระโขนงเหนือ,ส่วนควบคุมการฝึก (ECG)
เลขที่ 5 ซอยชิดลม,เขตปทุมวัน,,0-2655-5313,,0-2655-5300-10,,11351,6/18/2019 9:33:13 AM,,เอกชน,0.0,90,,0,,,11571,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,สถานพยาบาลเจตนิน,13.747198,100.54477900000006,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10330,กรุงเทพมหานคร,6/18/2019 9:32:09 AM,,ลุมพินี,ส่วนควบคุมการฝึก (ECG)
9/1 ถ.คอนแวนต์,เขตบางรัก,,0-2632-0573,,0-2686-2700,,11352,6/18/2019 9:34:40 AM,,เอกชน,0.0,80,,0,,,11546,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาล บี เอ็น เอช,13.7249435,100.53508169999998,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10500,กรุงเทพมหานคร,6/18/2019 9:34:08 AM,,สีลม,ส่วนควบคุมการฝึก (ECG)
27 ถ.สาทรใต้,เขตสาทร,,0-2675-5200,,0-2675-5000 ต่อ10820,,11353,6/18/2019 12:08:20 AM,,เอกชน,0.0,412,,0,,,11600,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเซนต์หลุยส์,13.7193753,100.52520060000006,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10120,กรุงเทพมหานคร,6/18/2019 12:07:38 AM,,ยานนาวา,ส่วนควบคุมการฝึก (ECG)
3850 ถนนพระราม4,เขตคลองเตย,,0-2249-8775,,0-2249-8774,,11354,6/18/2019 9:36:12 AM,,เอกชน,0.0,62,,0,,,11720,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเทพธารินทร์,13.7146245,100.57680540000001,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 9:35:29 AM,,พระโขนง,ส่วนควบคุมการฝึก (ECG)
124 ถ.สีลม,เขตบางรัก,,0-236-2911,,0-2235-1000,,11355,6/18/2019 12:31:43 AM,,เอกชน,0.0,244,,0,,,11548,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลกรุงเทพคริสเตียน,13.7282124,100.53113710000002,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10500,กรุงเทพมหานคร,6/18/2019 12:31:02 AM,,สุริยวงศ์,ส่วนควบคุมการฝึก (ECG)
2 ซ.ศูนย์วิจัย 7 ถ.เพชรบุรีตัดใหม่,เขตห้วยขวาง,,0-2318-1546,,0-2310-3000,,11356,6/18/2019 12:28:34 AM,,เอกชน,0.0,263,,0,,,11630,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลกรุงเทพ,13.749077198993833,100.58335304260254,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 12:27:28 AM,,บางกะปิ,ส่วนควบคุมการฝึก (ECG)
3284 ถ.เพชรบุรีตัดใหม่,เขตห้วยขวาง,,0-2318-5637,,0-2319-2101-5,,11357,6/18/2019 12:12:33 PM,,เอกชน,0.0,30,,0,,,11626,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลคลองตัน,13.7420586,100.59455260000004,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 12:12:01 PM,,บางกะปิ,ส่วนควบคุมการฝึก (ECG)
998 ถ.ริมคลองสามเสน (พระราม 9),เขตห้วยขวาง,,0-2246-9253,,0-2625-6555,,11358,6/18/2019 8:56:55 AM,,เอกชน,0.0,150,,0,,,11632,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลปิยะเวท,13.7536548,100.57978100000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 8:56:18 AM,,บางกะปิ,ส่วนควบคุมการฝึก (ECG)
เลขที่ 99 ซอยโรงพยาบาลพระราม 9,เขตห้วยขวาง,,0-2248-8018,,"0-2248-8020,0-2202-9999",,11359,6/18/2019 9:04:19 AM,,เอกชน,0.0,139,,0,,,11628,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลพระรามเก้า,13.7531308,100.57066480000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 9:03:13 AM,,บางกะปิ,ส่วนควบคุมการฝึก (ECG)
2 ซ.ศูนย์วิจัย 7 ถ.เพชรบุรีตัดใหม่,เขตห้วยขวาง,,0-2755 1465,,0-2755- 1486,,11360,6/18/2019 9:54:50 AM,,เอกชน,0.0,49,,0,,,22342,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลวัฒโนสถ,13.7483588,100.58256749999998,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 9:50:18 AM,,บางกะปิ,ส่วนควบคุมการฝึก (ECG)
1 ลาดพร้าว  ซอย 111,เขตบางกะปิ,,0-2734-0000,,0-2734-0000,,11363,6/18/2019 12:43:27 AM,,เอกชน,0.0,174,,0,,,11564,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเวชธานี,13.7718121,100.63695439999992,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10240,กรุงเทพมหานคร,6/18/2019 12:42:51 AM,,คลองจั่น,ส่วนควบคุมการฝึก (ECG)
2699 ถ.ลาดพร้าว,เขตวังทองหลาง,,0-2539-8490,,"0-2530-2244,0-2530-2556",,11364,6/18/2019 12:42:37 AM,,เอกชน,0.0,180,,0,,,11729,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลลาดพร้าว,13.7785034,100.62375309999993,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 12:42:04 AM,,คลองเจ้าคุณสิงห์,ส่วนควบคุมการฝึก (ECG)
185 ซ.ลาดพร้าว 71,เขตวังทองหลาง,,0-25387458,,"0-25387458,0-25387468",,11366,6/18/2019 12:16:44 PM,,เอกชน,0.0,29,,0,,,22340,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,สถานพยาบาล ภัสรพิบาล เนอสซิ่งโฮม,13.7946057,100.60722659999999,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 12:15:51 PM,,สะพานสอง,ส่วนควบคุมการฝึก (ECG)
เลขที่ 1 ซอย 56 ถ.พระรามที่ 2,เขตบางขุนเทียน,,0-2416-5454,,0-2416-5454,,11367,6/18/2019 8:55:50 AM,,เอกชน,0.0,150,,0,,,11648,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลนครธน,13.6606902,100.43417699999998,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10150,กรุงเทพมหานคร,6/18/2019 8:55:14 AM,,แสมดำ,ส่วนควบคุมการฝึก (ECG)
1055 ถนนเอกชัย,เขตบางบอน,,0-2894-2773,,0-2894-4111,,11368,6/18/2019 9:32:03 AM,,เอกชน,0.0,92,,0,,,15147,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลบางปะกอก 8,13.6630279,100.40685740000004,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10150,กรุงเทพมหานคร,6/18/2019 9:31:28 AM,,บางบอน,ส่วนควบคุมการฝึก (ECG)
362 ถ.พระราม 2,เขตจอมทอง,,0-2877-2222,,0-2877-1111,,11369,6/18/2019 8:55:04 AM,,เอกชน,0.0,150,,0,,,21339,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลบางปะกอก 9 อินเตอร์เนชั่นแนล,13.6817869,100.47459140000001,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10150,กรุงเทพมหานคร,6/18/2019 8:54:26 AM,,บางมด,ส่วนควบคุมการฝึก (ECG)
เลขที่ 280 ถนนพระราม2,เขตบางขุนเทียน,,0-2451-4937,,0-2451-4920,,11370,6/18/2019 9:08:30 AM,,เอกชน,0.0,109,,0,,,11647,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลพระราม 2,13.6517168,100.42205309999997,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10150,กรุงเทพมหานคร,6/18/2019 9:07:58 AM,,แสมดำ,ส่วนควบคุมการฝึก (ECG)
124/74-75 ถ.ดาวคนอง-จอมทอง,เขตจอมทอง,,0-2477-2289,,0-2477-2290-3,,11371,6/18/2019 8:54:19 AM,,เอกชน,0.0,150,,0,,,11706,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลบางขุนเทียน 1,13.6990497,100.46996360000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10150,กรุงเทพมหานคร,6/18/2019 8:53:12 AM,,บางค้อ,ส่วนควบคุมการฝึก (ECG)
38/7-8 ซอย 64/3,เขตบางบอน,,0-899 0130-2,,0-2899-0130-2,,11372,6/18/2019 12:27:47 PM,,เอกชน,0.0,10,,0,,,11734,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,สถานพยาบาลบางปะกอก 2,13.6761929,100.42959569999994,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10150,กรุงเทพมหานคร,6/18/2019 12:24:59 PM,,บางบอน,ส่วนควบคุมการฝึก (ECG)
"586,588 ถ.เพชรเกษม",เขตบางแค,,0-2454-1914,,"0-2804-8959, 0-2455-0110",,11373,6/18/2019 12:25:01 AM,,เอกชน,0.0,317,,0,,,11656,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเกษมราษฎร์ บางแค,,,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10160,กรุงเทพมหานคร,6/18/2019 12:24:42 AM,,บางแคเหนือ,ส่วนควบคุมการฝึก (ECG)
43/4  ถนนบรมราชชนนี,เขตทวีวัฒนา,,0-2448-3869,,0-2487-2100 ต่อ 1515,,11374,6/18/2019 9:31:21 AM,,เอกชน,0.0,95,,0,,,11640,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลธนบุรี 2,13.7832066,100.40071209999996,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10170,กรุงเทพมหานคร,6/18/2019 9:30:39 AM,,ศาลาธรรมสพน์,ส่วนควบคุมการฝึก (ECG)
62 ถนนเพชรเกษม,เขตภาษีเจริญ,,0-2457-2215,,0-2457-0086,,11375,6/18/2019 9:30:33 AM,,เอกชน,0.0,100,,0,,,11621,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลบางไผ่,13.7248761,100.46496439999999,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10160,กรุงเทพมหานคร,6/18/2019 9:29:53 AM,,ปากคลองภาษีเจริญ,ส่วนควบคุมการฝึก (ECG)
111 ถ.เพชรเกษม,เขตภาษีเจริญ,,0-2467-6505,,0-2467-1111,,11376,6/18/2019 12:32:25 AM,,เอกชน,0.0,234,,0,,,14574,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลพญาไท 3,13.7230229,100.46406879999995,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10160,กรุงเทพมหานคร,6/18/2019 12:31:58 AM,,ปากคลองภาษีเจริญ,ส่วนควบคุมการฝึก (ECG)
